true_class,pred_class,confidence,correct
dense_green,moderate_green,0.6191644072532654,False
minimal_green,moderate_green,0.9778136014938354,False
minimal_green,dense_green,0.6711424589157104,False
minimal_green,sparse_green,0.6154394745826721,False
minimal_green,sparse_green,0.8400683403015137,False
minimal_green,sparse_green,0.5337817072868347,False
minimal_green,sparse_green,0.8170903325080872,False
minimal_green,sparse_green,0.9411919713020325,False
minimal_green,dense_green,0.6221398115158081,False
minimal_green,sparse_green,0.8600608110427856,False
minimal_green,sparse_green,0.564566433429718,False
minimal_green,sparse_green,0.8852861523628235,False
minimal_green,sparse_green,0.9785796403884888,False
minimal_green,sparse_green,0.6187711954116821,False
minimal_green,sparse_green,0.5572894811630249,False
minimal_green,sparse_green,0.8741939067840576,False
minimal_green,sparse_green,0.6616159081459045,False
moderate_green,dense_green,0.5914417505264282,False
moderate_green,minimal_green,0.3770228922367096,False
sparse_green,minimal_green,0.5019617080688477,False
sparse_green,minimal_green,0.6526360511779785,False
